date,Unnamed: 1,name_1,name_2,asset_class,Sector,currency,shares,price,amount,event
08/01/2021,HD-US,HD,"Home Depot, Inc.",Public Equities,Retail Trade,USD,42.0,269.09,11301.78,Subscription
13/01/2021,QSR-US,QSR,Restaurant Brands International Inc,Public Equities,Consumer Services,USD,420.0,63.18,26535.6,Subscription
28/01/2021,,Real Estate Company,,Real Estate,Real Estate,USD,,,100000.0,Subscription
16/02/2021,GOOGL-US,GOOGL,Alphabet Inc. Class A,Public Equities,Technology Services,USD,104.0,105.534996,10975.63958,Subscription
10/03/2021,ABI-BE,ABI.BR,Anheuser-Busch InBev SA/NV,Public Equities,Consumer Non-Durables,EUR,400.0,53.14,21256.0,Subscription
12/03/2021,HD-US,HD,"Home Depot, Inc.",Public Equities,Retail Trade,USD,-25.0,273.1,-6827.5,Redemption
30/03/2021,TSLA-US,TSLA,Tesla Inc,Public Equities,Consumer Durables,USD,264.0,211.87334,55934.56176,Subscription
07/04/2021,QSR-US,QSR,Restaurant Brands International Inc,Public Equities,Consumer Services,USD,-11.0,66.56,-732.16,Redemption
13/04/2021,GOOGL-US,GOOGL,Alphabet Inc. Class A,Public Equities,Technology Services,USD,189.0,112.7215,21304.3635,Subscription
22/04/2021,TSLA-US,TSLA,Tesla Inc,Public Equities,Consumer Durables,USD,486.0,239.89667,116589.7816,Subscription
27/04/2021,HD-US,HD,"Home Depot, Inc.",Public Equities,Retail Trade,USD,481.0,320.59,154203.79,Subscription
07/05/2021,QSR-US,QSR,Restaurant Brands International Inc,Public Equities,Consumer Services,USD,94.0,69.48,6531.12,Subscription
18/05/2021,,Predios LTDA,,Real Estate,Real Estate,BRL,,,200000.0,Subscription
19/05/2021,,VC Company,,PE / VC,PE / VC,CAD,,,100000.0,Subscription
20/05/2021,,PE Company,,PE / VC,PE / VC,JPY,,,670000.0,Subscription
20/05/2021,GOOGL-US,GOOGL,Alphabet Inc. Class A,Public Equities,Technology Services,USD,403.0,115.347496,46485.04089,Subscription
21/05/2021,GOOGL-US,GOOGL,Alphabet Inc. Class A,Public Equities,Technology Services,USD,-27.0,114.7065,-3097.0755,Redemption
25/05/2021,,Private Equity Investments,,PE / VC,PE / VC,EUR,,,400000.0,Subscription
25/05/2021,ABI-BE,ABI.BR,Anheuser-Busch InBev SA/NV,Public Equities,Consumer Non-Durables,EUR,-8.0,61.91,-495.28,Redemption
01/06/2021,ABI-BE,ABI.BR,Anheuser-Busch InBev SA/NV,Public Equities,Consumer Non-Durables,EUR,111.0,62.38,6924.18,Subscription
11/06/2021,TSLA-US,TSLA,Tesla Inc,Public Equities,Consumer Durables,USD,-26.0,203.29668,-5285.71368,Redemption
18/06/2021,HD-US,HD,"Home Depot, Inc.",Public Equities,Retail Trade,USD,188.0,302.61,56890.68,Subscription
25/06/2021,QSR-US,QSR,Restaurant Brands International Inc,Public Equities,Consumer Services,USD,342.0,65.11,22267.62,Subscription
29/06/2021,ABI-BE,ABI.BR,Anheuser-Busch InBev SA/NV,Public Equities,Consumer Non-Durables,EUR,11.0,61.5,676.5,Subscription
01/07/2021,PETR3-BR,PETR3.SA,Petroleo Brasileiro SA,Public Equities,Energy Minerals,BRL,52.0,29.76,1547.52,Subscription
06/07/2021,,Investment Fund,,Liquid Funds,Liquid Funds,USD,100.0,1000.0,100000.0,Subscription
06/07/2021,HD-US,HD,"Home Depot, Inc.",Public Equities,Retail Trade,USD,-23.0,322.7,-7422.1,Redemption
13/07/2021,TSLA-US,TSLA,Tesla Inc,Public Equities,Consumer Durables,USD,388.0,222.84666,86464.50408,Subscription
14/07/2021,IBM-US,IBM,International Business Machines Corporation,Public Equities,Technology Services,USD,331.0,139.82,46280.42,Subscription
14/07/2021,PETR3-BR,PETR3.SA,Petroleo Brasileiro SA,Public Equities,Energy Minerals,BRL,302.0,28.37,8567.74,Subscription
26/07/2021,IBM-US,IBM,International Business Machines Corporation,Public Equities,Technology Services,USD,417.0,142.77,59535.09,Subscription
10/08/2021,,Brazilian Fund,,Liquid Funds,Liquid Funds,BRL,200.0,1000.0,200000.0,Subscription
11/08/2021,PETR3-BR,PETR3.SA,Petroleo Brasileiro SA,Public Equities,Energy Minerals,BRL,270.0,29.3,7911.0,Subscription
24/08/2021,PETR3-BR,PETR3.SA,Petroleo Brasileiro SA,Public Equities,Energy Minerals,BRL,-7.0,28.38,-198.66,Redemption
25/08/2021,INTC-US,INTC,Intel Corporation,Public Equities,Electronic Technology,USD,429.0,53.81,23084.49,Subscription
31/08/2021,,Indian Fund,,Liquid Funds,Liquid Funds,INR,100.0,1000.0,100000.0,Subscription
15/09/2021,INTC-US,INTC,Intel Corporation,Public Equities,Electronic Technology,USD,250.0,55.12,13780.0,Subscription
16/09/2021,HD-US,HD,"Home Depot, Inc.",Public Equities,Retail Trade,USD,461.0,336.39,155075.79,Subscription
29/09/2021,QSR-US,QSR,Restaurant Brands International Inc,Public Equities,Consumer Services,USD,279.0,61.64,17197.56,Subscription
20/10/2021,IBM-US,IBM,International Business Machines Corporation,Public Equities,Technology Services,USD,199.0,141.9,28238.1,Subscription
21/10/2021,INTC-US,INTC,Intel Corporation,Public Equities,Electronic Technology,USD,103.0,56.0,5768.0,Subscription
