Data,Preço,Sigla
10/8/2021,1000,Brazilian Fund
11/8/2021,1001,Brazilian Fund
12/8/2021,1029.639863,Brazilian Fund
13/08/2021,1022.712097,Brazilian Fund
14/08/2021,953.252362,Brazilian Fund
15/08/2021,923.5502577,Brazilian Fund
16/08/2021,908.3762028,Brazilian Fund
17/08/2021,888.4783491,Brazilian Fund
18/08/2021,920.6895276,Brazilian Fund
19/08/2021,948.7839551,Brazilian Fund
20/08/2021,987.6047,Brazilian Fund
21/08/2021,977.2802522,Brazilian Fund
22/08/2021,1123.028501,Brazilian Fund
23/08/2021,1201.182218,Brazilian Fund
24/08/2021,1270.168947,Brazilian Fund
25/08/2021,1280.680165,Brazilian Fund
26/08/2021,1468.364925,Brazilian Fund
27/08/2021,1549.815509,Brazilian Fund
28/08/2021,1549.815509,Brazilian Fund
29/08/2021,1549.815509,Brazilian Fund
30/08/2021,1549.815509,Brazilian Fund
31/08/2021,1549.815509,Brazilian Fund
1/9/2021,1549.815509,Brazilian Fund
2/9/2021,1549.815509,Brazilian Fund
3/9/2021,1549.815509,Brazilian Fund
4/9/2021,1549.815509,Brazilian Fund
5/9/2021,1549.815509,Brazilian Fund
6/9/2021,1549.815509,Brazilian Fund
7/9/2021,1549.815509,Brazilian Fund
8/9/2021,1549.815509,Brazilian Fund
9/9/2021,1549.815509,Brazilian Fund
10/9/2021,1549.815509,Brazilian Fund
11/9/2021,1549.815509,Brazilian Fund
12/9/2021,1549.815509,Brazilian Fund
13/09/2021,1549.815509,Brazilian Fund
14/09/2021,1549.815509,Brazilian Fund
15/09/2021,1549.815509,Brazilian Fund
16/09/2021,1549.815509,Brazilian Fund
17/09/2021,1549.815509,Brazilian Fund
18/09/2021,1549.815509,Brazilian Fund
19/09/2021,1549.815509,Brazilian Fund
20/09/2021,1549.815509,Brazilian Fund
21/09/2021,1549.815509,Brazilian Fund
22/09/2021,1549.815509,Brazilian Fund
23/09/2021,1549.815509,Brazilian Fund
24/09/2021,1549.815509,Brazilian Fund
25/09/2021,1549.815509,Brazilian Fund
26/09/2021,1549.815509,Brazilian Fund
27/09/2021,1549.815509,Brazilian Fund
28/09/2021,1549.815509,Brazilian Fund
29/09/2021,1549.815509,Brazilian Fund
30/09/2021,1549.815509,Brazilian Fund
1/10/2021,1549.815509,Brazilian Fund
2/10/2021,1549.815509,Brazilian Fund
3/10/2021,1549.815509,Brazilian Fund
4/10/2021,1549.815509,Brazilian Fund
5/10/2021,1549.815509,Brazilian Fund
6/10/2021,1549.815509,Brazilian Fund
7/10/2021,1549.815509,Brazilian Fund
